cognome_nome,url,gruppo,cognome,nome,sesso
Leanza Calogero,https://www.ars.sicilia.it/deputati/leanza-calogero?idLeg=71,Partito Democratico XVIII Legislatura,Leanza,Calogero,maschio
Lombardo Giuseppe,https://www.ars.sicilia.it/deputati/lombardo-giuseppe?idLeg=71,Sud chiama Nord,Lombardo,Giuseppe,maschio
Lombardo Giuseppe Geremia,https://www.ars.sicilia.it/deputati/lombardo-giuseppe-geremia?idLeg=71,Popolari e Autonomisti,Lombardo,Giuseppe Geremia,maschio
Mancuso Michele,https://www.ars.sicilia.it/deputati/mancuso-michele?idLeg=71,Forza Italia all'ARS,Mancuso,Michele,maschio
Marano Jose,https://www.ars.sicilia.it/deputati/marano-jose?idLeg=71,Movimento 5 Stelle,Marano,Jose,maschio
Marchetta Serafina,https://www.ars.sicilia.it/deputati/marchetta-serafina?idLeg=71,Democrazia Cristiana,Marchetta,Serafina,femmina
Messina Andrea Barbaro,https://www.ars.sicilia.it/deputati/messina-andrea-barbaro?idLeg=71,Democrazia Cristiana,Messina,Andrea Barbaro,maschio
Miccichè Gianfranco,https://www.ars.sicilia.it/deputati/micciche-gianfranco?idLeg=71,Misto,Miccichè,Gianfranco,maschio
Pace Carmelo,https://www.ars.sicilia.it/deputati/pace-carmelo?idLeg=71,Democrazia Cristiana,Pace,Carmelo,maschio
Pellegrino Stefano,https://www.ars.sicilia.it/deputati/pellegrino-stefano-0?idLeg=71,Forza Italia all'ARS,Pellegrino,Stefano,maschio
Primavera Santo Orazio,https://www.ars.sicilia.it/deputati/primavera-santo-orazio?idLeg=71,Misto,Primavera,Santo Orazio,maschio
Safina Dario,https://www.ars.sicilia.it/deputati/safina-dario?idLeg=71,Partito Democratico XVIII Legislatura,Safina,Dario,maschio
Sammartino Luca,https://www.ars.sicilia.it/deputati/sammartino-luca?idLeg=71,Prima l'Italia - Lega Salvini Premier,Sammartino,Luca,maschio
Savarino Giuseppa,https://www.ars.sicilia.it/deputati/savarino-giuseppa?idLeg=71,Fratelli d'Italia XVIII Legislatura,Savarino,Giuseppa,femmina
